mmsi,lat,long,sog,rot,cog,datetimestamp
304519000,48.13,-6.068165,9.8,0,21,23/10/2015 00:39:39
304519000,48.132,-6.0664983,9.9,0,29,23/10/2015 00:40:29
304519000,48.13233,-6.066165,9.8,-126,32,23/10/2015 00:40:38
304519000,48.132668,-6.0659986,9.6,0,25,23/10/2015 00:40:48
304519000,48.18717,-5.370332,8.9,127,69,14/12/2015 15:49:33
304519000,48.189335,-5.363332,9.4,0,65,14/12/2015 15:51:33
304519000,48.198334,-5.331498,10.2,-126,67,14/12/2015 16:00:12
304519000,48.221,-5.234832,9.3,0,74,14/12/2015 16:26:03
304519000,48.22117,-5.234165,9.8,-126,74,14/12/2015 16:26:12
304519000,48.221333,-5.2329984,9.9,-126,73,14/12/2015 16:26:32
304519000,48.22167,-5.231665,9.9,127,67,14/12/2015 16:26:52
304519000,48.221832,-5.2309985,9.3,-126,73,14/12/2015 16:27:03
304519000,48.222,-5.229665,9.3,0,70,14/12/2015 16:27:22
304519000,48.222168,-5.228998,10,-126,73,14/12/2015 16:27:32
304519000,48.222332,-5.2283316,10.1,0,75,14/12/2015 16:27:43
304519000,48.222668,-5.227165,9.3,-126,76,14/12/2015 16:28:03
304519000,48.22333,-5.2233315,9.5,-126,78,14/12/2015 16:29:03
304519000,48.223667,-5.221998,9.9,-126,73,14/12/2015 16:29:22
304519000,48.223835,-5.2213316,9.8,-126,75,14/12/2015 16:29:31
304519000,48.224167,-5.219498,9.5,0,75,14/12/2015 16:30:03
304519000,48.224335,-5.2188315,9.7,0,74,14/12/2015 16:30:12
304519000,48.224667,-5.2174983,9.6,-126,77,14/12/2015 16:30:31
304519000,48.224834,-5.216165,9.7,0,74,14/12/2015 16:30:52
304519000,48.225,-5.2154984,9.6,-126,78,14/12/2015 16:31:03
304519000,48.225334,-5.2143316,9.8,-126,78,14/12/2015 16:31:22
304519000,48.2255,-5.213665,9.7,0,75,14/12/2015 16:31:32
304519000,48.225666,-5.212332,9.5,-126,74,14/12/2015 16:31:52
304519000,48.225834,-5.211665,9.8,-126,76,14/12/2015 16:32:03
304519000,48.225834,-5.211165,10.1,0,76,14/12/2015 16:32:12
304519000,48.226166,-5.2098317,9.9,127,73,14/12/2015 16:32:32
304519000,48.2265,-5.2084985,9.3,0,76,14/12/2015 16:32:53
304519000,48.2265,-5.207832,10.3,-126,73,14/12/2015 16:33:01
304519000,48.227,-5.2058315,10,-126,79,14/12/2015 16:33:32
304519000,48.227665,-5.202665,9.3,127,73,14/12/2015 16:34:22
304519000,48.227665,-5.201998,9.6,-126,78,14/12/2015 16:34:31
304519000,48.227833,-5.2013316,10.2,-126,78,14/12/2015 16:34:42
304519000,48.22817,-5.1999984,9.5,-126,72,14/12/2015 16:35:01
304519000,48.228333,-5.1993318,10.1,-126,76,14/12/2015 16:35:13
304519000,48.228832,-5.196165,9.8,127,71,14/12/2015 16:36:02
304519000,48.229168,-5.194165,9.4,0,75,14/12/2015 16:36:32
304519000,48.2295,-5.1928315,10.2,-126,73,14/12/2015 16:36:53
304519000,48.229668,-5.192165,9.6,0,71,14/12/2015 16:37:01
304519000,48.22983,-5.1914983,10,0,74,14/12/2015 16:37:13
304519000,48.23,-5.1903315,9.4,127,69,14/12/2015 16:37:32
304519000,48.230335,-5.188998,9.7,0,75,14/12/2015 16:37:51
304519000,48.230667,-5.187165,10.1,0,74,14/12/2015 16:38:21
304519000,48.230835,-5.1863317,9.6,127,73,14/12/2015 16:38:32
304519000,48.230835,-5.185665,9.4,127,75,14/12/2015 16:38:42
304519000,48.2315,-5.1824985,9.7,-126,75,14/12/2015 16:39:32
304519000,48.231834,-5.1813316,9.8,127,71,14/12/2015 16:39:51
304519000,48.231834,-5.180665,9.2,127,74,14/12/2015 16:40:01
304519000,48.232166,-5.179498,9.8,127,76,14/12/2015 16:40:21
304519000,48.232334,-5.178665,9.1,127,75,14/12/2015 16:40:32
304519000,48.232334,-5.1779985,9,0,79,14/12/2015 16:40:42
304519000,48.2325,-5.1774983,10.4,-126,72,14/12/2015 16:40:51
304519000,48.232666,-5.176165,9,0,73,14/12/2015 16:41:12
304519000,48.232834,-5.175665,9.8,-126,76,14/12/2015 16:41:21
304519000,48.233,-5.174832,9.4,0,74,14/12/2015 16:41:32
304519000,48.233166,-5.1743317,9.4,0,76,14/12/2015 16:41:42
304519000,48.233166,-5.173665,9.8,0,76,14/12/2015 16:41:51
304519000,48.233334,-5.1729984,10,127,65,14/12/2015 16:42:01
304519000,48.2335,-5.172332,9.4,127,71,14/12/2015 16:42:12
304519000,48.233665,-5.170998,9.7,-126,75,14/12/2015 16:42:32
304519000,48.233833,-5.1704984,9.7,0,70,14/12/2015 16:42:42
304519000,48.234,-5.1698318,9.6,0,73,14/12/2015 16:42:51
304519000,48.234,-5.169165,9.9,127,68,14/12/2015 16:43:01
304519000,48.234165,-5.1684985,9.6,127,73,14/12/2015 16:43:12
304519000,48.234333,-5.167165,9.6,0,77,14/12/2015 16:43:32
304519000,48.2345,-5.166498,10,0,72,14/12/2015 16:43:42
304519000,48.234665,-5.1658316,9.8,127,77,14/12/2015 16:43:51
304519000,48.234665,-5.165332,9.4,0,80,14/12/2015 16:44:01
304519000,48.234833,-5.164665,9.9,0,77,14/12/2015 16:44:12
304519000,48.23517,-5.1633315,10,-126,77,14/12/2015 16:44:32
304519000,48.23517,-5.162665,9.7,0,75,14/12/2015 16:44:42
304519000,48.2355,-5.1613317,10.4,0,74,14/12/2015 16:45:01
304519000,48.2355,-5.160665,9.6,-126,73,14/12/2015 16:45:12
304519000,48.23567,-5.1599984,9.8,0,70,14/12/2015 16:45:23
304519000,48.235832,-5.159332,10.3,127,71,14/12/2015 16:45:31
304519000,48.235832,-5.158665,9.5,127,73,14/12/2015 16:45:42
304519000,48.236,-5.1579986,9.7,127,76,14/12/2015 16:45:52
304519000,48.236332,-5.1568317,9.5,127,74,14/12/2015 16:46:12
304519000,48.236332,-5.156165,9.5,127,75,14/12/2015 16:46:23
304519000,48.2365,-5.1554985,9.5,-126,83,14/12/2015 16:46:31
304519000,48.236668,-5.154832,9.5,-126,83,14/12/2015 16:46:42
304519000,48.236668,-5.154165,9.3,-126,81,14/12/2015 16:46:52
304519000,48.23683,-5.153498,9.7,0,77,14/12/2015 16:47:02
304519000,48.23683,-5.1529984,9.5,-126,76,14/12/2015 16:47:12
304519000,48.237,-5.152332,9.7,0,80,14/12/2015 16:47:23
304519000,48.237167,-5.151665,9.8,0,77,14/12/2015 16:47:31
304519000,48.237335,-5.1503315,9.7,127,77,14/12/2015 16:47:52
304519000,48.2375,-5.149665,9.6,0,80,14/12/2015 16:48:02
304519000,48.2375,-5.1489983,9.8,0,80,14/12/2015 16:48:12
304519000,48.237835,-5.147665,9.7,127,73,14/12/2015 16:48:31
304519000,48.238,-5.146332,10,-126,78,14/12/2015 16:48:52
304519000,48.238167,-5.145665,9.5,0,74,14/12/2015 16:49:01
304519000,48.238335,-5.1449986,9.5,0,77,14/12/2015 16:49:12
304519000,48.238335,-5.1443315,9.9,0,78,14/12/2015 16:49:23
304519000,48.2385,-5.1438317,9.6,0,72,14/12/2015 16:49:32
304519000,48.238834,-5.1424985,9.7,0,73,14/12/2015 16:49:52
304519000,48.238834,-5.141832,9.8,0,75,14/12/2015 16:50:01
304519000,48.239,-5.141165,9.6,127,76,14/12/2015 16:50:13
304519000,48.239,-5.140498,9.7,0,80,14/12/2015 16:50:23
304519000,48.239166,-5.1398315,9.4,-126,82,14/12/2015 16:50:32
304519000,48.239334,-5.1384983,10.3,0,76,14/12/2015 16:50:52
304519000,48.2395,-5.1378317,9.3,127,81,14/12/2015 16:51:01
304519000,48.2395,-5.137165,9.4,-126,80,14/12/2015 16:51:13
304519000,48.239666,-5.1364985,9.9,-126,82,14/12/2015 16:51:22
304519000,48.239666,-5.1359982,9.6,127,75,14/12/2015 16:51:32
304519000,48.239834,-5.1353316,9.3,127,83,14/12/2015 16:51:42
304519000,48.239834,-5.134665,9.6,0,79,14/12/2015 16:51:52
304519000,48.24,-5.1339984,9.9,-126,75,14/12/2015 16:52:02
304519000,48.24,-5.133332,9.9,0,82,14/12/2015 16:52:13
304519000,48.240166,-5.132665,9.8,0,79,14/12/2015 16:52:22
304519000,48.240334,-5.1319985,9.6,127,77,14/12/2015 16:52:31
304519000,48.240334,-5.1313314,9.9,0,79,14/12/2015 16:52:42
304519000,48.2405,-5.130665,9.9,0,80,14/12/2015 16:52:52
304519000,48.2405,-5.129998,9.9,0,79,14/12/2015 16:53:03
304519000,48.240665,-5.1293316,9.4,0,83,14/12/2015 16:53:13
304519000,48.240665,-5.128665,10,0,82,14/12/2015 16:53:22
304519000,48.240833,-5.1279984,9.3,127,79,14/12/2015 16:53:31
304519000,48.240833,-5.1273317,9.8,127,82,14/12/2015 16:53:42
304519000,48.241,-5.126665,9.9,0,77,14/12/2015 16:53:52
304519000,48.241,-5.1259985,9.6,-126,76,14/12/2015 16:54:03
304519000,48.241165,-5.125332,9.8,-126,80,14/12/2015 16:54:13
304519000,48.241165,-5.124665,9.7,-126,82,14/12/2015 16:54:22
304519000,48.241333,-5.123998,9.7,0,81,14/12/2015 16:54:31
304519000,48.2415,-5.1233315,9.9,0,82,14/12/2015 16:54:42
304519000,48.2415,-5.1219983,10,127,73,14/12/2015 16:55:03
304519000,48.241665,-5.1213317,9.5,127,81,14/12/2015 16:55:13
304519000,48.241665,-5.1208315,9.1,127,85,14/12/2015 16:55:22
304519000,48.241665,-5.120165,9.7,-126,85,14/12/2015 16:55:31
304519000,48.241833,-5.1188316,9.5,0,80,14/12/2015 16:55:52
304519000,48.242,-5.118165,9.8,0,76,14/12/2015 16:56:03
304519000,48.242,-5.1174984,10.1,0,77,14/12/2015 16:56:13
