MMSI,Method,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19,Sub20
538004506.csv,Kalman,11.147618014740344,14.043762516550757,18.28002067482116,22.34962205464133,26.392916566236412,41.97884438549329,48.55251268242941,52.166449257106834,55.4040851545526,56.58379960587069,59.55897703657898,66.03577200994444,219.26742262121343,238.89070337755086,241.5068542512011,246.74769775767166,568.2365185482477,570.6510992124876,588.3343604035036,597.8661356133103
538004506.csv,Linear,34.05836200251185,49.829574274215176,65.79841264404314,81.67459620305215,97.61846082172802,112.56872479055849,124.32340739849498,140.1005822146584,151.51580633153506,167.61076512991934,185.1057065764977,204.32031442267382,241.07979579295497,254.63473165832693,266.0615567043322,279.7966875069939,446.979374396905,463.23244944775195,480.577075577915,515.4022265587296
226105000.csv,Kalman,18.614428852885034,30.205485900777187,63.56083734525489,151.89129230651218,223.37585958903762,279.1966439707447,394.40832562008416,474.4935186930246,399.4294945377865,333.675711333319,365.47439069878106,500.5576593006919,540.6702245874103,513.4541405584624,481.24204775346965,494.81554737847864,464.8203416028748,918.8923147121295,864.048059725207,838.7060093530348
226105000.csv,Linear,131.86213918358544,196.87099483365233,259.0375482524415,320.6210009605038,383.93060971986955,442.9625416592414,506.068137325047,571.7293787280429,621.8954553526169,679.6720506701918,731.3655467058123,775.008365451183,808.430173476924,853.5709605481384,905.2317058492017,945.5545567211784,1033.7467363417773,1125.093143985368,1223.1296962210952,1625.987555688384
235097013.csv,Kalman,10.62672164515144,13.843171585633147,19.353741042375095,24.014264489243004,45.35257402867236,97.23977553007592,57.285038110465564,131.0583868646727,201.0766283986293,101.06803014662053,131.7485538344759,177.02837298691085,157.07737753776215,171.77024150205088,187.83676136252282,166.17790054981955,162.01401528913442,162.11307973002522,153.4830460617151,135.47728651890208
235097013.csv,Linear,75.62589023832994,112.26196437301579,148.45871331854934,186.4038110719664,218.69464113930192,260.42706256790683,284.9895636225412,332.3805791885814,345.97945905285326,375.79872016200176,424.78967153952993,474.63515314472556,487.80246951305674,499.2867479196306,516.6781668501955,540.2857937379038,571.1282174786552,606.9293322383638,648.7643542280007,694.4909474341176
305714000.csv,Kalman,7.822227201326529,27.18277148158396,39.15174913853134,86.49428899080702,124.87292083495,161.75283434820227,192.01364267182313,183.23825910791928,234.05322914544266,369.97854401054906,239.4005102219069,416.8117616945723,295.16405035792076,424.971537568395,950.4293270122357,594.1774276602014,1774.1870390330112,1171.4673303820948,1494.3097308137349,2223.0864838795037
305714000.csv,Linear,73.33951752484633,117.9684909513878,154.04305225413452,214.533519860666,274.8470196544147,305.20887903736923,324.36535139520174,363.78563621125727,395.81935508419735,526.600908430161,584.0772308515501,734.91721651557,698.5670732337882,729.5120141002154,1063.0757971129988,1255.6901703805265,2235.4470559490146,2267.360017447479,2270.229384617448,6959.81684024321
304519000.csv,Kalman,14.15092870344574,25.1058016825194,43.767632431321836,64.89558626193171,65.65351388099192,101.12651690553562,95.96947107345214,127.86499242940423,137.50390272121976,169.33024191623818,126.77341418636725,208.50970075209375,261.3471346447075,239.36983026893134,239.21625724300452,189.98117054510277,168.5602747907621,173.52151747433638,207.5270931934434,243.99628245783032
304519000.csv,Linear,53.19453546932939,78.97459506928142,104.2614846684648,130.1220836562117,153.1863231667652,179.7799808942163,196.56569853350513,232.6998758908006,243.3347423010971,263.19383023849366,298.7074512768297,335.1350819660853,339.5048513355626,349.7619283082505,361.09939194367166,377.7856371831123,397.0027953406822,420.78186917912615,449.6880020995321,483.7944041652879
