mmsi,lat,long,sog,rot,cog,datetimestamp
636092331,-4.7679167,48.76619,12.2,15,61,2016-03-03 10:58:24
636092331,-4.8351283,48.742413,13.1,-27,68.5,2016-03-03 10:43:54
636092331,-4.8353267,48.74236,12.8,-29,68.3,2016-03-03 10:43:53
636092331,-4.835595,48.74229,12.4,-37,67.1,2016-03-03 10:43:48
636092331,-4.83652,48.742012,12.8,-19,61.4,2016-03-03 10:43:38
636092331,-4.836758,48.74193,12.7,-20,55.3,2016-03-03 10:43:34
636092331,-4.836897,48.741905,12.7,-16,50.9,2016-03-03 10:43:32
636092331,-4.83728,48.7418,12.3,32,54.3,2016-03-03 10:43:28
636092331,-4.8376617,48.741665,12.6,36,50.4,2016-03-03 10:43:24
636092331,-4.858227,48.73442,12.9,22,58.4,2016-03-03 10:38:59
636092331,-4.8593335,48.733925,12.6,17,56.2,2016-03-03 10:38:44
636092331,-4.860463,48.73348,13.1,-20,70.1,2016-03-03 10:38:30
636092331,-4.86101,48.733326,12.8,-36,70.2,2016-03-03 10:38:23
636092331,-4.8823433,48.725807,12.4,-40,69.2,2016-03-03 10:33:50
636092331,-4.883255,48.725605,13,19,62,2016-03-03 10:33:39
636092331,-4.8839116,48.725418,12.3,10,54.4,2016-03-03 10:33:32
636092331,-4.8840666,48.725334,12.3,34,54.4,2016-03-03 10:33:29
636092331,-4.8845468,48.725075,12.7,40,58.6,2016-03-03 10:33:22
636092331,-4.8852134,48.724754,12.5,23,61.4,2016-03-03 10:33:13
636092331,-5.050115,48.669052,13.9,33,60,2016-03-03 09:58:55
636092331,-5.130427,48.64218,13.7,-23,64.9,2016-03-03 09:43:40
636092331,-4.9810386,48.240273,5.9,19,312.2,2016-03-03 04:54:05
636092331,-4.96833,48.232822,6.3,16,307.4,2016-03-03 04:47:54
636092331,-4.957195,48.2263,6.4,24,312.6,2016-03-03 04:42:05
636092331,-4.94564,48.219486,6,-14,311.2,2016-03-03 04:35:56
636092331,-4.93508,48.21352,5.9,8,306.9,2016-03-03 04:30:06
636092331,-4.922402,48.206375,6.2,-8,309.3,2016-03-03 04:23:56
636092331,-4.91103,48.199745,6,-14,311.9,2016-03-03 04:18:05
636092331,-4.8983865,48.192387,6.8,-16,317.2,2016-03-03 04:11:56
636092331,-4.8861685,48.185307,6.8,17,310.7,2016-03-03 04:06:05
636092331,-4.8732367,48.17784,6.6,-9,312.1,2016-03-03 03:59:55
636092331,-4.861952,48.17137,6.8,-16,313.5,2016-03-03 03:54:06
636092331,-4.8492284,48.164093,6.5,15,310.4,2016-03-03 03:47:56
636092331,-4.8379865,48.157326,6.3,-8,312.1,2016-03-03 03:42:05
636092331,-4.82638,48.150852,5.3,11,305.5,2016-03-03 03:35:56
636092331,-4.8139815,48.14496,6.9,13,301.2,2016-03-03 03:30:06
636092331,-4.8009315,48.138695,6.3,-11,305.6,2016-03-03 03:23:56
636092331,-4.788105,48.133686,6.8,-13,303.6,2016-03-03 03:18:05
636092331,-4.7747416,48.12929,5.3,-17,289.2,2016-03-03 03:11:55
636092331,-4.760238,48.127533,6.4,17,277.5,2016-03-03 03:06:05
636092331,-4.7275968,48.1251,6.9,-13,272.4,2016-03-03 02:54:05
636092331,-4.7106915,48.124447,6.7,14,270,2016-03-03 02:47:56
636092331,-4.69614,48.125042,5.8,3,267.4,2016-03-03 02:42:05
636092331,-4.6797233,48.125847,6,-6,268.1,2016-03-03 02:35:55
636092331,-4.6637034,48.126312,6.5,-11,265.1,2016-03-03 02:30:04
636092331,-4.646177,48.126644,6.4,-9,267.5,2016-03-03 02:23:54
636092331,-4.629205,48.126694,7.4,-13,270,2016-03-03 02:18:06
636092331,-4.610565,48.12641,6.6,8,268.8,2016-03-03 02:11:55
636092331,-4.5941715,48.126987,7.7,10,263.6,2016-03-03 02:06:05
636092331,-4.5826516,48.127888,7.5,12,256.4,2016-03-03 02:02:24
636092331,-4.5749717,48.12906,7.5,-10,254.3,2016-03-03 01:59:55
636092331,-4.5574718,48.133915,8.6,22,244,2016-03-03 01:54:06
636092331,-4.5148716,48.148266,10.3,18,231.7,2016-03-03 01:40:32
636092331,-4.514745,48.14834,9.9,-11,232.2,2016-03-03 01:40:30
636092331,-4.514322,48.148552,10.2,-20,230.9,2016-03-03 01:40:22
636092331,-4.5141816,48.14862,10.4,4,228.6,2016-03-03 01:40:19
636092331,-4.5138383,48.148815,10,21,226.5,2016-03-03 01:40:13
636092331,-4.4908533,48.177685,11.4,15,205.6,2016-03-03 01:30:06
636092331,-4.4789767,48.194447,10.9,9,205,2016-03-03 01:23:56
636092331,-4.4690285,48.20921,7.6,11,200,2016-03-03 01:18:05
636092331,-4.4672985,48.212315,6.6,-6,199.9,2016-03-03 01:16:22
636092331,-4.4671435,48.212585,6.5,-12,199,2016-03-03 01:16:13
636092331,-4.4670935,48.212677,6.5,-8,198.1,2016-03-03 01:16:09
636092331,-4.466972,48.212906,6.6,10,194.6,2016-03-03 01:16:02
636092331,-4.46693,48.213,6.5,10,193.1,2016-03-03 01:15:59
636092331,-4.4668584,48.21319,6.8,19,188.6,2016-03-03 01:15:52
636092331,-4.4667635,48.21362,7,24,179.3,2016-03-03 01:15:38
636092331,-4.466757,48.21385,6.8,24,175.8,2016-03-03 01:15:31
