mmsi,lat,long,sog,rot,cog,datetimestamp
227372000,48.217033,-6.1171618,3,-126,53.8,22/10/2015 22:48:22
227372000,48.197037,-5.129063,9.8,-126,102.7,09/12/2015 14:59:46
227372000,48.19542,-5.1177382,9.8,127,104.5,09/12/2015 15:02:34
227372000,48.193985,-5.1084485,9.9,0,102.7,09/12/2015 15:04:55
227372000,48.192024,-5.0958614,9.9,0,102.3,09/12/2015 15:08:05
227372000,48.190086,-5.0831985,10,127,104.4,09/12/2015 15:11:15
227372000,48.189953,-5.08251,9.7,-126,105.1,09/12/2015 15:11:25
227372000,48.18939,-5.0783935,10.1,-126,101.8,09/12/2015 15:12:26
227372000,48.18882,-5.0743165,9.9,127,101.5,09/12/2015 15:13:25
227372000,48.188713,-5.073705,10,0,102.5,09/12/2015 15:13:35
227372000,48.188587,-5.073005,9.8,0,103.7,09/12/2015 15:13:46
227372000,48.18836,-5.071718,9.9,127,104.9,09/12/2015 15:14:04
227372000,48.188255,-5.0710535,9.9,-126,103.9,09/12/2015 15:14:14
227372000,48.185356,-5.054293,9.9,0,105,09/12/2015 15:18:25
227372000,48.18442,-5.048828,10.2,127,105.3,09/12/2015 15:19:45
227372000,48.18402,-5.04687,9.9,127,106.1,09/12/2015 15:20:15
227372000,48.183792,-5.045622,9.8,0,105.4,09/12/2015 15:20:34
227372000,48.183254,-5.042175,9.9,127,102.9,09/12/2015 15:21:25
227372000,48.183155,-5.041458,10.1,-126,102.5,09/12/2015 15:21:35
227372000,48.181747,-5.0333834,10.1,127,102.1,09/12/2015 15:23:35
227372000,48.18164,-5.032725,10,0,102.7,09/12/2015 15:23:45
227372000,48.1815,-5.032025,10.1,127,103.8,09/12/2015 15:23:55
227372000,48.181385,-5.031357,10.1,-126,104.2,09/12/2015 15:24:05
227372000,48.18124,-5.0306616,10.2,-126,106.1,09/12/2015 15:24:15
227372000,48.18081,-5.0286584,10.2,127,107.2,09/12/2015 15:24:45
227372000,48.18036,-5.025903,10.2,-126,104.3,09/12/2015 15:25:26
227372000,48.18024,-5.0252085,10.3,127,104.3,09/12/2015 15:25:35
227372000,48.18014,-5.02456,10,-126,104.1,09/12/2015 15:25:45
227372000,48.17786,-5.01169,10,-126,107.4,09/12/2015 15:28:54
227372000,48.17772,-5.010918,10.2,-126,106.3,09/12/2015 15:29:05
227372000,48.177513,-5.0096116,10.2,0,104.6,09/12/2015 15:29:24
227372000,48.177418,-5.0087967,10.5,127,102.4,09/12/2015 15:29:35
227372000,48.177273,-5.0081835,10.1,0,104.4,09/12/2015 15:29:45
227372000,48.177147,-5.0075316,10.3,-126,105.2,09/12/2015 15:29:54
227372000,48.177013,-5.0067883,10.3,-126,105.4,09/12/2015 15:30:05
227372000,48.176422,-5.003422,10.1,127,105.4,09/12/2015 15:30:54
227372000,48.17576,-4.999922,10.3,-126,105.7,09/12/2015 15:31:45
227372000,48.175644,-4.999295,10.3,0,105.7,09/12/2015 15:31:54
227372000,48.175514,-4.9985085,10.5,127,104.9,09/12/2015 15:32:05
227372000,48.175106,-4.996595,10.1,0,106.4,09/12/2015 15:32:34
227372000,48.17492,-4.995805,10.3,-126,107.9,09/12/2015 15:32:45
227372000,48.174812,-4.99517,10.4,127,106.6,09/12/2015 15:32:55
227372000,48.17426,-4.9924216,10.5,127,106.8,09/12/2015 15:33:34
227372000,48.173824,-4.99037,10.3,127,107.2,09/12/2015 15:34:05
227372000,48.17367,-4.989715,10.1,127,107.8,09/12/2015 15:34:16
227372000,48.173542,-4.989082,10.3,127,106.8,09/12/2015 15:34:24
227372000,48.17336,-4.988445,10.1,-126,109.3,09/12/2015 15:34:34
227372000,48.17317,-4.987672,10.5,-126,110.3,09/12/2015 15:34:45
227372000,48.17228,-4.98305,10.3,0,106.9,09/12/2015 15:35:55
227372000,48.172134,-4.9823284,10.1,-126,107,09/12/2015 15:36:05
227372000,48.171055,-4.97699,10.2,-126,106.3,09/12/2015 15:37:24
227372000,48.170925,-4.976315,10.1,127,105.9,09/12/2015 15:37:34
227372000,48.17082,-4.975635,10.1,127,104.9,09/12/2015 15:37:44
227372000,48.17064,-4.9748883,10.2,-126,106.9,09/12/2015 15:37:55
227372000,48.170506,-4.9742184,10.2,-126,107.1,09/12/2015 15:38:05
227372000,48.17042,-4.9734964,10.3,127,104.3,09/12/2015 15:38:15
227372000,48.170284,-4.9729133,10.2,127,105.5,09/12/2015 15:38:24
227372000,48.16962,-4.9694567,10.1,127,104.8,09/12/2015 15:39:15
227372000,48.16947,-4.968838,10.3,-126,106.8,09/12/2015 15:39:24
227372000,48.16933,-4.968187,10.1,-126,107.9,09/12/2015 15:39:34
227372000,48.169186,-4.9675016,10.2,-126,108.1,09/12/2015 15:39:44
227372000,48.169067,-4.96673,10.3,127,105.7,09/12/2015 15:39:56
227372000,48.168888,-4.966105,10.1,0,108.2,09/12/2015 15:40:05
227372000,48.168747,-4.96541,10.2,-126,107.7,09/12/2015 15:40:15
227372000,48.16865,-4.9648185,10.1,127,106.1,09/12/2015 15:40:24
227372000,48.168514,-4.9640965,10.3,-126,106.2,09/12/2015 15:40:34
227372000,48.167976,-4.961322,10.2,127,104.8,09/12/2015 15:41:15
227372000,48.167828,-4.9607234,10.2,-126,107.1,09/12/2015 15:41:24
227372000,48.167667,-4.960008,10.5,-126,108,09/12/2015 15:41:34
227372000,48.16752,-4.9592934,10.2,127,107.7,09/12/2015 15:41:46
227372000,48.167397,-4.9586067,10.2,127,106.6,09/12/2015 15:41:55
227372000,48.16728,-4.957938,10.1,127,105.5,09/12/2015 15:42:05
227372000,48.16516,-4.9481816,9.8,127,105.6,09/12/2015 15:44:34
227372000,48.165047,-4.9474034,10,127,104.6,09/12/2015 15:44:46
227372000,48.164932,-4.9468365,9.8,127,104.4,09/12/2015 15:44:54
227372000,48.164776,-4.94609,10,127,105.4,09/12/2015 15:45:05
227372000,48.164646,-4.9454365,10,-126,106.1,09/12/2015 15:45:15
227372000,48.16452,-4.944855,9.9,-126,107.1,09/12/2015 15:45:24
