mmsi,lat,long,sog,rot,cog,datetimestamp
374281000,48.23712,-5.268335,8.8,0,116,28/12/2015 22:15:08
374281000,48.23356,-5.2571836,9.1,0,114,28/12/2015 22:18:26
374281000,48.23194,-5.2519236,9.3,0,114,28/12/2015 22:19:57
374281000,48.231033,-5.2490015,9.3,0,114,28/12/2015 22:20:47
374281000,48.23086,-5.248385,9.4,0,115,28/12/2015 22:20:56
374281000,48.23052,-5.247205,9.4,0,115,28/12/2015 22:21:17
374281000,48.226112,-5.233042,8.9,0,114,28/12/2015 22:25:27
374281000,48.22514,-5.2296534,8.9,0,114,28/12/2015 22:26:28
374281000,48.223846,-5.225158,8.9,0,114,28/12/2015 22:27:48
374281000,48.22314,-5.22286,9.1,0,115,28/12/2015 22:28:27
374281000,48.221664,-5.217903,8.9,0,113,28/12/2015 22:29:56
374281000,48.220634,-5.21446,8.8,0,114,28/12/2015 22:30:56
374281000,48.22045,-5.21389,8.8,0,114,28/12/2015 22:31:07
374281000,48.219467,-5.21042,9.1,0,113,28/12/2015 22:32:07
374281000,48.216095,-5.19888,9,0,113,28/12/2015 22:35:26
374281000,48.21435,-5.1926184,8.9,0,113,28/12/2015 22:37:18
374281000,48.214153,-5.192078,8.8,0,114,28/12/2015 22:37:27
374281000,48.21326,-5.18936,8.8,0,116,28/12/2015 22:38:17
374281000,48.212925,-5.188365,8.8,0,117,28/12/2015 22:38:36
374281000,48.21268,-5.187685,8.9,0,117,28/12/2015 22:38:48
374281000,48.211994,-5.185335,9.2,0,115,28/12/2015 22:39:27
374281000,48.211365,-5.1829066,9.4,0,111,28/12/2015 22:40:08
374281000,48.21118,-5.1823483,9.4,0,112,28/12/2015 22:40:18
374281000,48.21104,-5.181782,9.3,0,112,28/12/2015 22:40:27
374281000,48.21048,-5.180148,8.9,0,115,28/12/2015 22:40:57
374281000,48.20974,-5.17811,8.7,0,118,28/12/2015 22:41:36
374281000,48.20942,-5.1768565,8.8,0,116,28/12/2015 22:41:57
374281000,48.208954,-5.1751533,8.8,0,113,28/12/2015 22:42:27
374281000,48.208347,-5.172825,9,0,111,28/12/2015 22:43:08
374281000,48.208088,-5.1716466,9,0,110,28/12/2015 22:43:27
374281000,48.2078,-5.170475,9,0,110,28/12/2015 22:43:48
374281000,48.206505,-5.164725,8.8,0,109,28/12/2015 22:45:28
374281000,48.206215,-5.1635466,8.9,0,109,28/12/2015 22:45:47
374281000,48.20488,-5.157065,8.9,0,108,28/12/2015 22:47:37
374281000,48.20466,-5.155997,8.9,0,107,28/12/2015 22:47:56
374281000,48.2045,-5.155278,9,0,107,28/12/2015 22:48:08
374281000,48.20424,-5.1540885,9,0,108,28/12/2015 22:48:27
374281000,48.203705,-5.1516385,9.2,0,108,28/12/2015 22:49:08
374281000,48.202026,-5.1428285,9.5,0,106,28/12/2015 22:51:26
374281000,48.201885,-5.1422167,9.5,0,106,28/12/2015 22:51:37
374281000,48.201675,-5.141085,9.4,0,105,28/12/2015 22:51:57
374281000,48.20141,-5.13969,9.4,0,105,28/12/2015 22:52:18
374281000,48.201275,-5.139078,9.4,0,106,28/12/2015 22:52:26
374281000,48.20101,-5.137825,9.4,0,106,28/12/2015 22:52:46
374281000,48.200653,-5.13592,9.5,0,107,28/12/2015 22:53:18
374281000,48.200344,-5.1347,9.5,0,109,28/12/2015 22:53:37
374281000,48.20019,-5.13408,9.5,0,109,28/12/2015 22:53:46
374281000,48.19988,-5.1328735,9.4,0,110,28/12/2015 22:54:08
374281000,48.199715,-5.1323085,9.4,0,111,28/12/2015 22:54:18
374281000,48.199287,-5.13053,9.2,0,111,28/12/2015 22:54:47
374281000,48.199146,-5.13007,9.1,0,111,28/12/2015 22:54:56
374281000,48.198994,-5.129357,9.1,0,111,28/12/2015 22:55:08
374281000,48.198486,-5.127585,9.1,0,112,28/12/2015 22:55:38
374281000,48.198265,-5.126365,9.2,0,110,28/12/2015 22:55:57
