time,delta_time,X,Y,rot,Vmps,rot_sec
0,0,6062445,4368335,3.8,5.2,0.13
11,11,6062500,4368343,5.1,5.2,0.12
20,9,6062556,4368351,6.3,5.2,-0.1
29,9,6062600,4368359,5.3,5.4,0.35
39,10,6062655,4368367,8.8,5.3,-0.12
50,11,6062711,4368375,7.6,5.5,-0.42
60,10,6062766,4368383,3.4,5.5,0.33
71,11,6062822,4368391,6.7,5.5,-0.29
99,28,6062988,4368422,3.8,5.3,0.5
110,11,6063043,4368430,8.8,5.4,-0.07
140,30,6063210,4368454,8.1,5.7,-0.08
149,9,6063254,4368462,7.3,5.6,-0.11
170,21,6063365,4368484,6.2,5.4,0.06
191,21,6063487,4368501,6.8,5.8,-0.28
200,9,6063542,4368509,4,5.4,0.47
311,111,6064152,4368604,8.7,5.9,-0.52
339,28,6064307,4368628,3.5,5.6,0.5
350,11,6064373,4368643,8.5,5.7,0.43
360,10,6064429,4368651,12.8,5.8,-0.28
379,19,6064540,4368667,10.0,5.9,-0.1
